,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
70,70,12/11/2018,3781765,466406,2,466406,A1007501,A10,7,"[22.75, 12.0]",A1007,"(150, 40)"
71,71,12/11/2018,3781763,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
72,72,12/11/2018,3781737,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
73,73,12/11/2018,3781730,288155,1,288155,A0612503,A06,12,"[34.5, 15.0]",A0612,"(420, 260)"
74,74,12/11/2018,3781730,362503,1,362503,A0710204,A07,10,"[31.25, 13.5]",A0710,"(50, 40)"
75,75,12/11/2018,3781730,401415,1,401415,A0612101,A06,12,"[34.5, 15.0]",A0612,"(80, 260)"
76,76,12/11/2018,3781730,401416,1,401416,A0612104,A06,12,"[34.5, 15.0]",A0612,"(420, 160)"
77,77,12/11/2018,3781722,263928,1,263928,A0416404,A04,16,"[41.0, 18.0]",A0416,"(100, 280)"
78,78,12/11/2018,3781708,202889,1,202889,A0914502,A09,14,"[24, 16.5]",A0914,"(420, 60)"
79,79,12/11/2018,3781698,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
80,80,12/11/2018,3781699,450075,1,450075,A0916101,A09,16,"[24, 18.0]",A0916,"(330, 200)"
81,81,12/11/2018,3781691,432234,1,432234,A0407103,A04,7,"[42.25, 12.0]",A0407,"(70, 160)"
82,82,12/11/2018,3781687,424786,1,424786,A1014403,A10,14,"[20.75, 16.5]",A1014,"(240, 180)"
83,83,12/11/2018,3781682,253469,1,253469,A0604504,A06,4,"[34.5, 9.0]",A0604,"(230, 60)"
84,84,12/11/2018,3781680,389088,1,389088,A0309106,A03,9,"[45.5, 13.5]",A0309,"(230, 260)"
85,85,12/11/2018,3781681,449731,1,449731,A0918103,A09,18,"[24, 19.5]",A0918,"(400, 120)"
86,86,12/11/2018,3781669,389080,1,389080,A0312506,A03,12,"[44.25, 15.0]",A0312,"(440, 260)"
87,87,12/11/2018,3781657,264149,1,264149,A0911204,A09,11,"[26, 15.0]",A0911,"(330, 320)"
88,88,12/11/2018,3781560,349867,1,349867,A0719104,A07,19,"[32.5, 21.0]",A0719,"(100, 300)"
89,89,12/11/2018,3781548,369973,1,369973,A0606502,A06,6,"[34.5, 10.5]",A0606,"(330, 60)"
90,90,12/11/2018,3781521,450077,1,450077,A0920204,A09,20,"[24, 21.0]",A0920,"(50, 240)"
91,91,12/11/2018,3781521,450078,1,450078,A0904104,A09,4,"[24, 9.0]",A0904,"(140, 180)"
92,92,12/11/2018,3781521,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
93,93,12/11/2018,3781517,340100,1,340100,A0610401,A06,10,"[34.5, 13.5]",A0610,"(240, 80)"
94,94,12/11/2018,3781517,459891,1,459891,A0916202,A09,16,"[24, 18.0]",A0916,"(390, 320)"
95,95,12/11/2018,3781517,459892,1,459892,A0917401,A09,17,"[26, 19.5]",A0917,"(110, 280)"
96,96,12/11/2018,3781517,459893,1,459893,A0919504,A09,19,"[26, 21.0]",A0919,"(130, 320)"
97,97,12/11/2018,3781509,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
98,98,12/11/2018,3781499,370781,1,370781,A1008402,A10,8,"[20.75, 12.0]",A1008,"(300, 280)"
99,99,12/11/2018,3781490,461527,1,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
100,100,12/11/2018,3781488,454369,2,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
101,101,12/11/2018,3781477,263736,1,263736,A0406401,A04,6,"[41.0, 10.5]",A0406,"(110, 60)"
102,102,12/11/2018,3781475,403848,1,403848,A0308106,A03,8,"[44.25, 12.0]",A0308,"(220, 200)"
103,103,12/11/2018,3781474,244579,2,244579,A0701104,A07,1,"[32.5, 6.0]",A0701,"(90, 260)"
104,104,12/11/2018,3781472,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
105,105,12/11/2018,3781471,308519,1,308519,A0520203,A05,20,"[37.75, 21.0]",A0520,"(220, 160)"
106,106,12/11/2018,3781455,387290,1,387290,A0203502,A02,3,"[48.75, 9.0]",A0203,"(150, 300)"
107,107,12/11/2018,3781438,450075,1,450075,A0916101,A09,16,"[24, 18.0]",A0916,"(330, 200)"
108,108,12/11/2018,3781435,349865,1,349865,A0719103,A07,19,"[32.5, 21.0]",A0719,"(60, 300)"
109,109,12/11/2018,3781436,445070,1,445070,A0921501,A09,21,"[26, 22.5]",A0921,"(200, 260)"
110,110,12/11/2018,3781415,290863,1,290863,A1011204,A10,11,"[22.75, 15.0]",A1011,"(360, 240)"
111,111,12/11/2018,3781415,433414,1,433414,A0304207,A03,4,"[44.25, 9.0]",A0304,"(70, 40)"
112,112,12/11/2018,3781398,441278,1,441278,A0511104,A05,11,"[39.0, 15.0]",A0511,"(440, 60)"
113,113,12/11/2018,3781389,276870,1,276870,A0913203,A09,13,"[26, 16.5]",A0913,"(410, 100)"
114,114,12/11/2018,3781366,290863,1,290863,A1011204,A10,11,"[22.75, 15.0]",A1011,"(360, 240)"
115,115,12/11/2018,3781366,352820,1,352820,A0409502,A04,9,"[42.25, 13.5]",A0409,"(180, 160)"
116,116,12/11/2018,3781359,263736,1,263736,A0406401,A04,6,"[41.0, 10.5]",A0406,"(110, 60)"
117,117,12/11/2018,3781348,358957,1,358957,A0911501,A09,11,"[26, 15.0]",A0911,"(410, 120)"
118,118,12/11/2018,3781347,436723,1,436723,A0410504,A04,10,"[41.0, 13.5]",A0410,"(70, 180)"
119,119,12/11/2018,3781342,436723,1,436723,A0410504,A04,10,"[41.0, 13.5]",A0410,"(70, 180)"
120,120,12/11/2018,3781326,395245,1,395245,A0708403,A07,8,"[31.25, 12.0]",A0708,"(410, 60)"
121,121,12/11/2018,3781328,295842,1,295842,A0206505,A02,6,"[47.5, 10.5]",A0206,"(70, 240)"
122,122,12/11/2018,3781318,263737,1,263737,A0413203,A04,13,"[42.25, 16.5]",A0413,"(260, 320)"
123,123,12/11/2018,3781316,388058,1,388058,A0804501,A08,4,"[28.0, 9.0]",A0804,"(430, 160)"
124,124,12/11/2018,3781314,392320,1,392320,A0308307,A03,8,"[44.25, 12.0]",A0308,"(210, 380)"
125,125,12/11/2018,3781285,412682,1,412682,A0805103,A08,5,"[29.25, 10.5]",A0805,"(110, 160)"
126,126,12/11/2018,3781284,366664,1,366664,A0514201,A05,14,"[37.75, 16.5]",A0514,"(140, 280)"
127,127,12/11/2018,3781279,366659,1,366659,A0510402,A05,10,"[37.75, 13.5]",A0510,"(210, 80)"
128,128,12/11/2018,3781279,466406,1,466406,A1007501,A10,7,"[22.75, 12.0]",A1007,"(150, 40)"
129,129,12/11/2018,3781276,370816,1,370816,A0910404,A09,10,"[24, 13.5]",A0910,"(270, 280)"
130,130,12/11/2018,3781276,370817,1,370817,A0910502,A09,10,"[24, 13.5]",A0910,"(290, 380)"
131,131,12/11/2018,3781266,404936,1,404936,A0620303,A06,20,"[34.5, 21.0]",A0620,"(140, 140)"
132,132,12/11/2018,3781264,340496,1,340496,A0905202,A09,5,"[26, 10.5]",A0905,"(410, 300)"
133,133,12/11/2018,3781264,375959,1,375959,A0909202,A09,9,"[26, 13.5]",A0909,"(90, 240)"
134,134,12/11/2018,3781261,461527,1,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
135,135,12/11/2018,3781252,408365,1,408365,A0103304,A01,3,"[52.0, 9.0]",A0103,"(190, 260)"
136,136,12/11/2018,3781252,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
137,137,12/11/2018,3781249,458574,1,458574,A0715401,A07,15,"[32.5, 18.0]",A0715,"(160, 360)"
138,138,12/11/2018,3781250,440472,1,440472,A1008102,A10,8,"[20.75, 12.0]",A1008,"(350, 140)"
139,139,12/11/2018,3781233,353793,1,353793,A1022402,A10,22,"[20.75, 22.5]",A1022,"(410, 360)"
140,140,12/11/2018,3781233,440469,1,440469,A1007401,A10,7,"[22.75, 12.0]",A1007,"(400, 220)"
141,141,12/11/2018,3781233,440474,1,440474,A1008301,A10,8,"[20.75, 12.0]",A1008,"(330, 200)"
142,142,12/11/2018,3781232,450077,1,450077,A0920204,A09,20,"[24, 21.0]",A0920,"(50, 240)"
143,143,12/11/2018,3781229,259768,1,259768,A0911102,A09,11,"[26, 15.0]",A0911,"(120, 200)"
144,144,12/11/2018,3781228,449731,1,449731,A0918103,A09,18,"[24, 19.5]",A0918,"(400, 120)"
145,145,12/11/2018,3781226,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
146,146,12/11/2018,3781227,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
147,147,12/11/2018,3781224,335931,1,335931,A0919102,A09,19,"[26, 21.0]",A0919,"(210, 360)"
148,148,12/11/2018,3781225,295792,1,295792,A0412403,A04,12,"[41.0, 15.0]",A0412,"(240, 180)"
149,149,12/11/2018,3781223,440469,1,440469,A1007401,A10,7,"[22.75, 12.0]",A1007,"(400, 220)"
150,150,12/11/2018,3781223,440470,1,440470,A1007403,A10,7,"[22.75, 12.0]",A1007,"(390, 60)"
151,151,12/11/2018,3781223,440472,1,440472,A1008102,A10,8,"[20.75, 12.0]",A1008,"(350, 140)"
152,152,12/11/2018,3781222,440471,1,440471,A1008101,A10,8,"[20.75, 12.0]",A1008,"(140, 360)"
153,153,12/11/2018,3781222,440472,1,440472,A1008102,A10,8,"[20.75, 12.0]",A1008,"(350, 140)"
154,154,12/11/2018,3781222,440474,1,440474,A1008301,A10,8,"[20.75, 12.0]",A1008,"(330, 200)"
155,155,12/11/2018,3781206,371177,1,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
156,156,12/11/2018,3781203,388041,1,388041,A0804403,A08,4,"[28.0, 9.0]",A0804,"(90, 160)"
157,157,12/11/2018,3781196,267283,1,267283,A0809104,A08,9,"[29.25, 13.5]",A0809,"(390, 380)"
158,158,12/11/2018,3781196,311355,1,311355,A0814101,A08,14,"[28.0, 16.5]",A0814,"(410, 320)"
159,159,12/11/2018,3781197,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
160,160,12/11/2018,3781197,348815,1,348815,A0904101,A09,4,"[24, 9.0]",A0904,"(200, 160)"
161,161,12/11/2018,3781177,450077,1,450077,A0920204,A09,20,"[24, 21.0]",A0920,"(50, 240)"
162,162,12/11/2018,3781163,353863,1,353863,A0711303,A07,11,"[32.5, 15.0]",A0711,"(270, 200)"
163,163,12/11/2018,3781161,366684,1,366684,A0109101,A01,9,"[52.0, 13.5]",A0109,"(180, 300)"
164,164,12/11/2018,3781151,388051,1,388051,A0901201,A09,1,"[26, 6.0]",A0901,"(190, 60)"
165,165,12/11/2018,3781138,367593,1,367593,A0701204,A07,1,"[32.5, 6.0]",A0701,"(230, 120)"
166,166,12/11/2018,3781137,423129,1,423129,A1012104,A10,12,"[20.75, 15.0]",A1012,"(270, 60)"
167,167,12/11/2018,3781127,348816,1,348816,A0908303,A09,8,"[24, 12.0]",A0908,"(220, 140)"
168,168,12/11/2018,3781128,335932,1,335932,A1006101,A10,6,"[20.75, 10.5]",A1006,"(240, 140)"
169,169,12/3/2018,3756186,452650,1,452650,A0901304,A09,1,"[26, 6.0]",A0901,"(120, 140)"
170,170,12/3/2018,3755674,395246,1,395246,A0707504,A07,7,"[32.5, 12.0]",A0707,"(320, 380)"
171,171,12/3/2018,3755671,395245,1,395245,A0708403,A07,8,"[31.25, 12.0]",A0708,"(410, 60)"
172,172,12/3/2018,3755612,348940,1,348940,A0411203,A04,11,"[42.25, 15.0]",A0411,"(100, 180)"
173,173,12/3/2018,3755610,335346,1,335346,A1011303,A10,11,"[22.75, 15.0]",A1011,"(430, 300)"
174,174,12/3/2018,3755572,452659,1,452659,A0908204,A09,8,"[24, 12.0]",A0908,"(210, 300)"
175,175,12/3/2018,3755561,434125,1,434125,A0912502,A09,12,"[24, 15.0]",A0912,"(90, 200)"
176,176,12/3/2018,3755548,335346,1,335346,A1011303,A10,11,"[22.75, 15.0]",A1011,"(430, 300)"
177,177,12/3/2018,3755539,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
178,178,12/3/2018,3755497,450078,1,450078,A0904104,A09,4,"[24, 9.0]",A0904,"(140, 180)"
179,179,12/3/2018,3755477,370756,1,370756,A1021303,A10,21,"[22.75, 22.5]",A1021,"(90, 160)"
180,180,12/3/2018,3755477,370757,1,370757,A1002403,A10,2,"[20.75, 6.0]",A1002,"(440, 320)"
181,181,12/3/2018,3755477,397537,2,397537,A0802504,A08,2,"[28.0, 6.0]",A0802,"(420, 220)"
182,182,12/3/2018,3755477,441092,1,441092,A1006402,A10,6,"[20.75, 10.5]",A1006,"(220, 260)"
183,183,12/3/2018,3755460,351391,1,351391,A0812503,A08,12,"[28.0, 15.0]",A0812,"(280, 140)"
184,184,12/3/2018,3755460,439405,1,439405,A0403203,A04,3,"[42.25, 9.0]",A0403,"(150, 120)"
185,185,12/3/2018,3755366,290522,1,290522,A0412103,A04,12,"[41.0, 15.0]",A0412,"(50, 80)"
186,186,12/3/2018,3755339,366681,1,366681,A0104402,A01,4,"[50.75, 9.0]",A0104,"(400, 280)"
187,187,12/3/2018,3755347,452650,1,452650,A0901304,A09,1,"[26, 6.0]",A0901,"(120, 140)"
188,188,12/3/2018,3755252,452650,1,452650,A0901304,A09,1,"[26, 6.0]",A0901,"(120, 140)"
189,189,12/3/2018,3755235,371177,1,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
190,190,12/3/2018,3755230,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
191,191,12/3/2018,3755231,452652,1,452652,A0406302,A04,6,"[41.0, 10.5]",A0406,"(110, 280)"
192,192,12/3/2018,3755222,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
193,193,12/3/2018,3755145,370815,1,370815,A0910204,A09,10,"[24, 13.5]",A0910,"(260, 180)"
194,194,12/3/2018,3755100,372093,1,372093,A1001201,A10,1,"[22.75, 6.0]",A1001,"(340, 300)"
195,195,12/3/2018,3755094,348791,1,348791,A0902203,A09,2,"[24, 6.0]",A0902,"(220, 220)"
196,196,12/3/2018,3755094,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
197,197,12/3/2018,3755086,340788,1,340788,A0814502,A08,14,"[28.0, 16.5]",A0814,"(360, 300)"
198,198,12/3/2018,3755066,371177,1,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
199,199,12/3/2018,3755031,422250,1,422250,A1109202,A11,9,"[19.5, 13.5]",A1109,"(210, 360)"
200,200,12/3/2018,3754998,408363,1,408363,A0207102,A02,7,"[48.75, 12.0]",A0207,"(50, 280)"
201,201,12/3/2018,3754996,419221,1,419221,A0508102,A05,8,"[37.75, 12.0]",A0508,"(140, 140)"
202,202,12/3/2018,3754996,454584,1,454584,A0619404,A06,19,"[35.75, 21.0]",A0619,"(250, 120)"
203,203,12/3/2018,3754979,461527,1,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
204,204,12/3/2018,3754973,441232,1,441232,A0507302,A05,7,"[39.0, 12.0]",A0507,"(190, 60)"
205,205,12/3/2018,3754968,419208,1,419208,A0503301,A05,3,"[39.0, 9.0]",A0503,"(300, 20)"
206,206,12/3/2018,3754889,395246,1,395246,A0707504,A07,7,"[32.5, 12.0]",A0707,"(320, 380)"
207,207,12/3/2018,3754850,371177,1,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
208,208,12/3/2018,3754855,353789,1,353789,A1002402,A10,2,"[20.75, 6.0]",A1002,"(70, 40)"
209,209,12/3/2018,3754843,440530,2,440530,A1002101,A10,2,"[20.75, 6.0]",A1002,"(360, 360)"
210,210,12/3/2018,3754774,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
211,211,12/3/2018,3754768,453965,3,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
212,212,12/3/2018,3754768,453967,3,453967,A1120203,A11,20,"[15.25, 21.0]",A1120,"(190, 20)"
213,213,12/3/2018,3754477,366659,1,366659,A0510402,A05,10,"[37.75, 13.5]",A0510,"(210, 80)"
214,214,12/3/2018,3754477,466406,1,466406,A1007501,A10,7,"[22.75, 12.0]",A1007,"(150, 40)"
215,215,12/3/2018,3754278,351020,1,351020,A0902102,A09,2,"[24, 6.0]",A0902,"(310, 40)"
216,216,12/3/2018,3754170,335931,1,335931,A0919102,A09,19,"[26, 21.0]",A0919,"(210, 360)"
217,217,12/3/2018,3753607,450077,1,450077,A0920204,A09,20,"[24, 21.0]",A0920,"(50, 240)"
218,218,12/3/2018,3753570,459353,1,459353,A1016502,A10,16,"[20.75, 18.0]",A1016,"(400, 280)"
219,219,12/3/2018,3757349,339227,1,339227,A1017201,A10,17,"[22.75, 19.5]",A1017,"(260, 40)"
220,220,12/3/2018,3757334,353788,1,353788,A0906503,A09,6,"[24, 10.5]",A0906,"(300, 100)"
221,221,12/3/2018,3757324,331622,1,331622,A1003501,A10,3,"[22.75, 9.0]",A1003,"(70, 380)"
222,222,12/3/2018,3757129,366682,1,366682,A0104403,A01,4,"[50.75, 9.0]",A0104,"(50, 340)"
223,223,12/3/2018,3757167,344980,1,344980,A0410303,A04,10,"[41.0, 13.5]",A0410,"(230, 320)"
224,224,12/3/2018,3757011,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
225,225,12/3/2018,3757006,348940,1,348940,A0411203,A04,11,"[42.25, 15.0]",A0411,"(100, 180)"
226,226,12/3/2018,3756999,352820,1,352820,A0409502,A04,9,"[42.25, 13.5]",A0409,"(180, 160)"
227,227,12/3/2018,3756999,373649,1,373649,A0405302,A04,5,"[42.25, 10.5]",A0405,"(240, 160)"
228,228,12/3/2018,3756997,403356,1,403356,A1107502,A11,7,"[19.5, 12.0]",A1107,"(370, 220)"
229,229,12/3/2018,3756990,329167,2,329167,A1106504,A11,6,"[15.25, 10.5]",A1106,"(130, 80)"
230,230,12/3/2018,3756990,355811,1,355811,A1007202,A10,7,"[22.75, 12.0]",A1007,"(200, 220)"
231,231,12/3/2018,3756988,431861,1,431861,A0701202,A07,1,"[32.5, 6.0]",A0701,"(150, 20)"
232,232,12/3/2018,3756985,349867,1,349867,A0719104,A07,19,"[32.5, 21.0]",A0719,"(100, 300)"
233,233,12/3/2018,3756981,244579,1,244579,A0701104,A07,1,"[32.5, 6.0]",A0701,"(90, 260)"
234,234,12/3/2018,3756976,432234,1,432234,A0407103,A04,7,"[42.25, 12.0]",A0407,"(70, 160)"
235,235,12/3/2018,3756976,434113,1,434113,A0407202,A04,7,"[42.25, 12.0]",A0407,"(230, 40)"
236,236,12/3/2018,3756953,371177,1,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
237,237,12/3/2018,3756959,299865,1,299865,A0412501,A04,12,"[41.0, 15.0]",A0412,"(240, 180)"
238,238,12/3/2018,3756942,344980,1,344980,A0410303,A04,10,"[41.0, 13.5]",A0410,"(230, 320)"
239,239,12/3/2018,3756934,403038,1,403038,A0201301,A02,1,"[48.75, 6.0]",A0201,"(60, 120)"
